,Service Name,Transport Protocol,Description
2202,imtc-map,"tcp, udp",Int. Multimedia Teleconferencing Cosortium
2203,b2-runtime,"tcp, udp",b2 Runtime Protocol
2204,b2-license,"tcp, udp",b2 License Server
2205,jps,"tcp, udp",Java Presentation Server
2206,hpocbus,"tcp, udp",HP OpenCall bus
2207,hpssd,"tcp, udp",HP Status and Services
2208,hpiod,"tcp, udp",HP I/O Backend
2209,rimf-ps,"tcp, udp",HP RIM for Files Portal Service
2210,noaaport,"tcp, udp",NOAAPORT Broadcast Network
2211,emwin,"tcp, udp",EMWIN
2212,leecoposserver,"tcp, udp",LeeCO POS Server Service
2213,kali,"tcp, udp",Kali
2214,rpi,"tcp, udp",RDQ Protocol Interface
2215,ipcore,"tcp, udp",IPCore.co.za GPRS
2216,vtu-comms,"tcp, udp",VTU data service
2217,gotodevice,"tcp, udp",GoToDevice Device Management
2218,bounzza,"tcp, udp",Bounzza IRC Proxy
2219,netiq-ncap,"tcp, udp",NetIQ NCAP Protocol
2220,netiq,"tcp, udp",NetIQ End2End
2221,ethernet-ip-s,"tcp, udp","EtherNet/IP over DTLS, EtherNet/IP over TLS"
2222,"EtherNet-IP-1, EtherNet/IP-1","tcp, udp","EtherNet/IP I/O
IANA assigned this well-formed service name as a replacement for ""EtherNet/IP-1""., EtherNet/IP I/O"
2223,rockwell-csp2,"tcp, udp",Rockwell CSP2
2224,efi-mg,"tcp, udp",Easy Flexible Internet/Multiplayer Games
2225,"nan, rcip-itu","sctp, tcp, udp","Resource Connection Initiation Protocol, Reserved"
2226,di-drm,"tcp, udp",Digital Instinct DRM
2227,di-msg,"tcp, udp",DI Messaging Service
2228,ehome-ms,"tcp, udp",eHome Message Server
2229,datalens,"tcp, udp",DataLens Service
2230,queueadm,"tcp, udp",MetaSoft Job Queue Administration Service
2231,wimaxasncp,"tcp, udp",WiMAX ASN Control Plane Protocol
2232,ivs-video,"tcp, udp",IVS Video default
2233,infocrypt,"tcp, udp",INFOCRYPT
2234,directplay,"tcp, udp",DirectPlay
2235,sercomm-wlink,"tcp, udp",Sercomm-WLink
2236,nani,"tcp, udp",Nani
2237,optech-port1-lm,"tcp, udp",Optech Port1 License Manager
2238,aviva-sna,"tcp, udp",AVIVA SNA SERVER
2239,imagequery,"tcp, udp",Image Query
2240,recipe,"tcp, udp",RECIPe
2241,ivsd,"tcp, udp",IVS Daemon
2242,foliocorp,"tcp, udp",Folio Remote Server
2243,magicom,"tcp, udp",Magicom Protocol
2244,nmsserver,"tcp, udp",NMS Server
2245,hao,"tcp, udp",HaO
2246,pc-mta-addrmap,"tcp, udp",PacketCable MTA Addr Map
2247,antidotemgrsvr,"tcp, udp",Antidote Deployment Manager Service
2248,ums,"tcp, udp",User Management Service
2249,rfmp,"tcp, udp",RISO File Manager Protocol
2250,remote-collab,"tcp, udp",remote-collab
2251,dif-port,"tcp, udp",Distributed Framework Port
2252,njenet-ssl,"tcp, udp",NJENET using SSL
2253,dtv-chan-req,"tcp, udp",DTV Channel Request
2254,seispoc,"tcp, udp",Seismic P.O.C. Port
2255,vrtp,"tcp, udp",VRTP - ViRtue Transfer Protocol
2256,pcc-mfp,"tcp, udp",PCC MFP
2257,simple-tx-rx,"tcp, udp",simple text/file transfer
2258,rcts,"tcp, udp",Rotorcraft Communications Test System
2259,bid-serv,"tcp, udp",BIF identifiers resolution service
2260,apc-2260,"tcp, udp",APC 2260
2261,comotionmaster,"tcp, udp",CoMotion Master Server
2262,comotionback,"tcp, udp",CoMotion Backup Server
2263,ecwcfg,"tcp, udp",ECweb Configuration Service
2264,apx500api-1,"tcp, udp",Audio Precision Apx500 API Port 1
2265,apx500api-2,"tcp, udp",Audio Precision Apx500 API Port 2
2266,mfserver,"tcp, udp","M-files Server, M-Files Server"
2267,ontobroker,"tcp, udp",OntoBroker
2268,amt,"tcp, udp",AMT
2269,mikey,"tcp, udp",MIKEY
2270,starschool,"tcp, udp",starSchool
2271,mmcals,"tcp, udp",Secure Meeting Maker Scheduling
2272,mmcal,"tcp, udp",Meeting Maker Scheduling
2273,mysql-im,"tcp, udp",MySQL Instance Manager
2274,pcttunnell,"tcp, udp",PCTTunneller
2275,ibridge-data,"tcp, udp",iBridge Conferencing
2276,ibridge-mgmt,"tcp, udp",iBridge Management
2277,bluectrlproxy,"tcp, udp",Bt device control proxy
2278,s3db,"tcp, udp",Simple Stacked Sequences Database
2279,xmquery,"tcp, udp",xmquery
2280,lnvpoller,"tcp, udp",LNVPOLLER
2281,lnvconsole,"tcp, udp",LNVCONSOLE
2282,lnvalarm,"tcp, udp",LNVALARM
2283,lnvstatus,"tcp, udp",LNVSTATUS
2284,lnvmaps,"tcp, udp",LNVMAPS
2285,lnvmailmon,"tcp, udp",LNVMAILMON
2286,nas-metering,"tcp, udp",NAS-Metering
2287,dna,"tcp, udp",DNA
2288,netml,"tcp, udp",NETML
2289,dict-lookup,"tcp, udp",Lookup dict server
2290,sonus-logging,"tcp, udp",Sonus Logging Services
2291,eapsp,"tcp, udp",EPSON Advanced Printer Share Protocol
2292,mib-streaming,"tcp, udp",Sonus Element Management Services
2293,npdbgmngr,"tcp, udp",Network Platform Debug Manager
2294,konshus-lm,"tcp, udp",Konshus License Manager (FLEX)
2295,advant-lm,"tcp, udp",Advant License Manager
2296,theta-lm,"tcp, udp",Theta License Manager (Rainbow)
2297,d2k-datamover1,"tcp, udp",D2K DataMover 1
2298,d2k-datamover2,"tcp, udp",D2K DataMover 2
2299,pc-telecommute,"tcp, udp",PC Telecommute
2300,cvmmon,"tcp, udp",CVMMON
2301,cpq-wbem,"tcp, udp",Compaq HTTP
2302,binderysupport,"tcp, udp",Bindery Support
2303,proxy-gateway,"tcp, udp",Proxy Gateway
2304,attachmate-uts,"tcp, udp",Attachmate UTS
2305,mt-scaleserver,"tcp, udp",MT ScaleServer
2306,tappi-boxnet,"tcp, udp",TAPPI BoxNet
2307,pehelp,"tcp, udp",pehelp
2308,sdhelp,"tcp, udp",sdhelp
2309,sdserver,"tcp, udp",SD Server
2310,sdclient,"tcp, udp",SD Client
2311,messageservice,"tcp, udp",Message Service
2312,wanscaler,"tcp, udp",WANScaler Communication Service
2313,iapp,"tcp, udp",IAPP (Inter Access Point Protocol)
2314,cr-websystems,"tcp, udp",CR WebSystems
2315,precise-sft,"tcp, udp",Precise Sft.
2316,sent-lm,"tcp, udp",SENT License Manager
2317,attachmate-g32,"tcp, udp",Attachmate G32
2318,cadencecontrol,"tcp, udp",Cadence Control
2319,infolibria,"tcp, udp",InfoLibria
2320,siebel-ns,"tcp, udp",Siebel NS
2321,rdlap,"tcp, udp",RDLAP
2322,ofsd,"tcp, udp",ofsd
2323,3d-nfsd,"tcp, udp",3d-nfsd
2324,cosmocall,"tcp, udp",Cosmocall
2325,ansysli,"tcp, udp",ANSYS Licensing Interconnect
2326,idcp,"tcp, udp",IDCP
2327,xingcsm,"tcp, udp",xingcsm
2328,netrix-sftm,"tcp, udp",Netrix SFTM
2329,nvd,"tcp, udp",NVD
2330,tscchat,"tcp, udp",TSCCHAT
2331,agentview,"tcp, udp",AGENTVIEW
2332,rcc-host,"tcp, udp",RCC Host
2333,snapp,"tcp, udp",SNAPP
2334,ace-client,"tcp, udp",ACE Client Auth
2335,ace-proxy,"tcp, udp",ACE Proxy
2336,appleugcontrol,"tcp, udp",Apple UG Control
2337,ideesrv,"tcp, udp",ideesrv
2338,norton-lambert,"tcp, udp",Norton Lambert
2339,3com-webview,"tcp, udp",3Com WebView
2340,"wrs-registry, wrs_registry","tcp, udp","WRS Registry, WRS Registry
IANA assigned this well-formed service name as a replacement for ""wrs_registry""."
2341,xiostatus,"tcp, udp",XIO Status
2342,manage-exec,"tcp, udp",Seagate Manage Exec
2343,nati-logos,"tcp, udp",nati logos
2344,fcmsys,"tcp, udp",fcmsys
2345,dbm,"tcp, udp",dbm
2346,"redstorm-join, redstorm_join","tcp, udp","Game Connection Port
IANA assigned this well-formed service name as a replacement for ""redstorm_join""., Game Connection Port"
2347,"redstorm_find, redstorm-find","tcp, udp","Game Announcement and Location
IANA assigned this well-formed service name as a replacement for ""redstorm_find""., Game Announcement and Location"
2348,"redstorm_info, redstorm-info","tcp, udp","Information to query for game status, Information to query for game status
IANA assigned this well-formed service name as a replacement for ""redstorm_info""."
2349,"redstorm-diag, redstorm_diag","tcp, udp","Diagnostics Port
IANA assigned this well-formed service name as a replacement for ""redstorm_diag""., Diagnostics Port"
2350,psbserver,"tcp, udp",Pharos Booking Server
2351,psrserver,"tcp, udp",psrserver
2352,pslserver,"tcp, udp",pslserver
2353,pspserver,"tcp, udp",pspserver
2354,psprserver,"tcp, udp",psprserver
2355,psdbserver,"tcp, udp",psdbserver
2356,gxtelmd,"tcp, udp",GXT License Managemant
2357,unihub-server,"tcp, udp",UniHub Server
2358,futrix,"tcp, udp",Futrix
2359,flukeserver,"tcp, udp",FlukeServer
2360,nexstorindltd,"tcp, udp",NexstorIndLtd
2361,tl1,"tcp, udp",TL1
2362,digiman,"tcp, udp",digiman
2363,mediacntrlnfsd,"tcp, udp",Media Central NFSD
2364,oi-2000,"tcp, udp",OI-2000
2365,dbref,"tcp, udp",dbref
2366,qip-login,"tcp, udp",qip-login
2367,service-ctrl,"tcp, udp",Service Control
2368,opentable,"tcp, udp",OpenTable
2369,bif-p2p,"tcp, udp",Blockchain Identifier InFrastructure P2P
2370,l3-hbmon,"tcp, udp",L3-HBMon
2371,rda,"tcp, udp",Remote Device Access
2372,lanmessenger,"tcp, udp",LanMessenger
2373,remographlm,"tcp, udp",Remograph License Manager
2374,hydra,"tcp, udp",Hydra RPC
2375,docker,"tcp, udp",Docker REST API (plain text)
2376,docker-s,tcp,Docker REST API (ssl)
2377,swarm,"tcp, udp",RPC interface for Docker Swarm
2378,dali,"tcp, udp",DALI lighting control
2379,etcd-client,"tcp, udp",etcd client communication
2380,etcd-server,"tcp, udp",etcd server to server communication
2381,compaq-https,"tcp, udp",Compaq HTTPS
2382,ms-olap3,"tcp, udp",Microsoft OLAP
2383,ms-olap4,"tcp, udp",Microsoft OLAP
2384,"sd-request, sd-capacity","tcp, udp","SD-REQUEST, SD-CAPACITY"
2385,sd-data,"tcp, udp",SD-DATA
2386,virtualtape,"tcp, udp",Virtual Tape
2387,vsamredirector,"tcp, udp",VSAM Redirector
2388,mynahautostart,"tcp, udp",MYNAH AutoStart
2389,ovsessionmgr,"tcp, udp",OpenView Session Mgr
2390,rsmtp,"tcp, udp",RSMTP
2391,3com-net-mgmt,"tcp, udp",3COM Net Management
2392,tacticalauth,"tcp, udp",Tactical Auth
2393,ms-olap1,"tcp, udp",MS OLAP 1
2394,ms-olap2,"tcp, udp",MS OLAP 2
2395,"lan900_remote, lan900-remote","tcp, udp","LAN900 Remote
IANA assigned this well-formed service name as a replacement for ""lan900_remote""., LAN900 Remote"
2396,wusage,"tcp, udp",Wusage
2397,ncl,"tcp, udp",NCL
2398,orbiter,"tcp, udp",Orbiter
2399,fmpro-fdal,"tcp, udp","FileMaker, Inc. - Data Access Layer"
2400,opequus-server,"tcp, udp",OpEquus Server
2401,cvspserver,"tcp, udp",cvspserver
2402,taskmaster2000,"tcp, udp",TaskMaster 2000 Server
2403,taskmaster2000,"tcp, udp",TaskMaster 2000 Web
2404,iec-104,"tcp, udp",IEC 60870-5-104 process control over IP
2405,trc-netpoll,"tcp, udp",TRC Netpoll
2406,jediserver,"tcp, udp",JediServer
2407,orion,"tcp, udp",Orion
2408,railgun-webaccl,"tcp, udp",CloudFlare Railgun Web Acceleration Protocol
2409,sns-protocol,"tcp, udp",SNS Protocol
2410,vrts-registry,"tcp, udp",VRTS Registry
2411,netwave-ap-mgmt,"tcp, udp",Netwave AP Management
2412,cdn,"tcp, udp",CDN
2413,orion-rmi-reg,"tcp, udp",orion-rmi-reg
2414,beeyond,"tcp, udp",Beeyond
2415,codima-rtp,"tcp, udp",Codima Remote Transaction Protocol
2416,rmtserver,"tcp, udp",RMT Server
2417,composit-server,"tcp, udp",Composit Server
2418,cas,"tcp, udp",cas
2419,attachmate-s2s,"tcp, udp",Attachmate S2S
2420,dslremote-mgmt,"tcp, udp",DSL Remote Management
2421,g-talk,"tcp, udp",G-Talk
2422,crmsbits,"tcp, udp",CRMSBITS
2423,rnrp,"tcp, udp",RNRP
2424,kofax-svr,"tcp, udp",KOFAX-SVR
2425,fjitsuappmgr,"tcp, udp",Fujitsu App Manager
2426,vcmp,"tcp, udp",VeloCloud MultiPath Protocol
2427,mgcp-gateway,"tcp, udp",Media Gateway Control Protocol Gateway
2428,ott,"tcp, udp",One Way Trip Time
2429,ft-role,"tcp, udp",FT-ROLE
2430,venus,"tcp, udp",venus
2431,venus-se,"tcp, udp",venus-se
2432,codasrv,"tcp, udp",codasrv
2433,codasrv-se,"tcp, udp",codasrv-se
2434,pxc-epmap,"tcp, udp",pxc-epmap
2435,optilogic,"tcp, udp",OptiLogic
2436,topx,"tcp, udp",TOP/X
2437,unicontrol,"tcp, udp",UniControl
2438,msp,"tcp, udp",MSP
2439,sybasedbsynch,"tcp, udp",SybaseDBSynch
2440,spearway,"tcp, udp",Spearway Lockers
2441,pvsw-inet,"tcp, udp",Pervasive I*net Data Server
2442,netangel,"tcp, udp",Netangel
2443,powerclientcsf,"tcp, udp",PowerClient Central Storage Facility
2444,btpp2sectrans,"tcp, udp",BT PP2 Sectrans
2445,dtn1,"tcp, udp",DTN1
2446,"bues_service, bues-service","tcp, udp","bues_service, bues_service
IANA assigned this well-formed service name as a replacement for ""bues_service""."
2447,ovwdb,"tcp, udp",OpenView NNM daemon
2448,hpppssvr,"tcp, udp",hpppsvr
2449,ratl,"tcp, udp",RATL
2450,netadmin,"tcp, udp",netadmin
2451,netchat,"tcp, udp",netchat
2452,snifferclient,"tcp, udp",SnifferClient
2453,madge-ltd,"tcp, udp",madge ltd
2454,indx-dds,"tcp, udp",IndX-DDS
2455,wago-io-system,"tcp, udp",WAGO-IO-SYSTEM
2456,altav-remmgt,"tcp, udp",altav-remmgt
2457,rapido-ip,"tcp, udp",Rapido_IP
2458,griffin,"tcp, udp",griffin
2459,xrpl,"tcp, udp",Community
2460,ms-theater,"tcp, udp",ms-theater
2461,qadmifoper,"tcp, udp",qadmifoper
2462,qadmifevent,"tcp, udp",qadmifevent
2463,lsi-raid-mgmt,"tcp, udp",LSI RAID Management
2464,direcpc-si,"tcp, udp",DirecPC SI
2465,lbm,"tcp, udp",Load Balance Management
2466,lbf,"tcp, udp",Load Balance Forwarding
2467,high-criteria,"tcp, udp",High Criteria
2468,qip-msgd,"tcp, udp",qip_msgd
2469,mti-tcs-comm,"tcp, udp",MTI-TCS-COMM
2470,taskman-port,"tcp, udp",taskman port
2471,seaodbc,"tcp, udp",SeaODBC
2472,c3,"tcp, udp",C3
2473,aker-cdp,"tcp, udp",Aker-cdp
2474,vitalanalysis,"tcp, udp",Vital Analysis
2475,ace-server,"tcp, udp",ACE Server
2476,ace-svr-prop,"tcp, udp",ACE Server Propagation
2477,ssm-cvs,"tcp, udp",SecurSight Certificate Valifation Service
2478,ssm-cssps,"tcp, udp",SecurSight Authentication Server (SSL)
2479,ssm-els,"tcp, udp",SecurSight Event Logging Server (SSL)
2480,powerexchange,"tcp, udp",Informatica PowerExchange Listener
2481,giop,"tcp, udp",Oracle GIOP
2482,giop-ssl,"tcp, udp",Oracle GIOP SSL
2483,ttc,"tcp, udp",Oracle TTC
2484,ttc-ssl,"tcp, udp",Oracle TTC SSL
2485,netobjects1,"tcp, udp",Net Objects1
2486,netobjects2,"tcp, udp",Net Objects2
2487,pns,"tcp, udp",Policy Notice Service
2488,moy-corp,"tcp, udp",Moy Corporation
2489,tsilb,"tcp, udp",TSILB
2490,qip-qdhcp,"tcp, udp",qip_qdhcp
2491,conclave-cpp,"tcp, udp",Conclave CPP
2492,groove,"tcp, udp",GROOVE
2493,talarian-mqs,"tcp, udp",Talarian MQS
2494,bmc-ar,"tcp, udp",BMC AR
2495,fast-rem-serv,"tcp, udp",Fast Remote Services
2496,dirgis,"tcp, udp",DIRGIS
2497,quaddb,"tcp, udp",Quad DB
2498,odn-castraq,"tcp, udp",ODN-CasTraq
2500,rtsserv,"tcp, udp",Resource Tracking system server
2501,rtsclient,"tcp, udp",Resource Tracking system client
2502,kentrox-prot,"tcp, udp",Kentrox Protocol
2503,nms-dpnss,"tcp, udp",NMS-DPNSS
2504,wlbs,"tcp, udp",WLBS
2505,ppcontrol,"tcp, udp",PowerPlay Control
2506,jbroker,"tcp, udp",jbroker
2507,spock,"tcp, udp",spock
2508,jdatastore,"tcp, udp",JDataStore
2509,fjmpss,"tcp, udp",fjmpss
2510,fjappmgrbulk,"tcp, udp",fjappmgrbulk
2511,metastorm,"tcp, udp",Metastorm
2512,citrixima,"tcp, udp",Citrix IMA
2513,citrixadmin,"tcp, udp",Citrix ADMIN
2514,facsys-ntp,"tcp, udp",Facsys NTP
2515,facsys-router,"tcp, udp",Facsys Router
2516,maincontrol,"tcp, udp",Main Control
2517,call-sig-trans,"tcp, udp",H.323 Annex E Call Control Signalling Transport
2518,willy,"tcp, udp",Willy
2519,globmsgsvc,"tcp, udp",globmsgsvc
2520,pvsw,"tcp, udp",Pervasive Listener
2521,adaptecmgr,"tcp, udp",Adaptec Manager
2522,windb,"tcp, udp",WinDb
2523,qke-llc-v3,"tcp, udp",Qke LLC V.3
2524,optiwave-lm,"tcp, udp",Optiwave License Management
2525,ms-v-worlds,"tcp, udp",MS V-Worlds
2526,ema-sent-lm,"tcp, udp",EMA License Manager
2527,iqserver,"tcp, udp",IQ Server
2528,"ncr_ccl, ncr-ccl","tcp, udp","NCR CCL
IANA assigned this well-formed service name as a replacement for ""ncr_ccl""., NCR CCL"
2529,utsftp,"tcp, udp",UTS FTP
2530,vrcommerce,"tcp, udp",VR Commerce
2531,ito-e-gui,"tcp, udp",ITO-E GUI
2532,ovtopmd,"tcp, udp",OVTOPMD
2533,snifferserver,"tcp, udp",SnifferServer
2534,combox-web-acc,"tcp, udp",Combox Web Access
2535,madcap,"tcp, udp",MADCAP
2536,btpp2audctr1,"tcp, udp",btpp2audctr1
2537,upgrade,"tcp, udp",Upgrade Protocol
2538,vnwk-prapi,"tcp, udp",vnwk-prapi
2539,vsiadmin,"tcp, udp",VSI Admin
2540,lonworks,"tcp, udp",LonWorks
2541,lonworks2,"tcp, udp",LonWorks2
2542,udrawgraph,"tcp, udp",uDraw(Graph)
2543,reftek,"tcp, udp",REFTEK
2544,novell-zen,"tcp, udp",Management Daemon Refresh
2545,sis-emt,"tcp, udp",sis-emt
2546,vytalvaultbrtp,"tcp, udp",vytalvaultbrtp
2547,vytalvaultvsmp,"tcp, udp",vytalvaultvsmp
2548,vytalvaultpipe,"tcp, udp",vytalvaultpipe
2549,ipass,"tcp, udp",IPASS
2550,ads,"tcp, udp",ADS
2551,isg-uda-server,"tcp, udp",ISG UDA Server
2552,call-logging,"tcp, udp",Call Logging
2553,efidiningport,"tcp, udp",efidiningport
2554,vcnet-link-v10,"tcp, udp",VCnet-Link v10
2555,compaq-wcp,"tcp, udp",Compaq WCP
2556,nicetec-nmsvc,"tcp, udp",nicetec-nmsvc
2557,nicetec-mgmt,"tcp, udp",nicetec-mgmt
2558,pclemultimedia,"tcp, udp",PCLE Multi Media
2559,lstp,"tcp, udp",LSTP
2560,labrat,"tcp, udp",labrat
2561,mosaixcc,"tcp, udp",MosaixCC
2562,delibo,"tcp, udp",Delibo
2563,cti-redwood,"tcp, udp",CTI Redwood
2564,hp-3000-telnet,"tcp, udp",HP 3000 NS/VT block mode telnet
2565,coord-svr,"tcp, udp",Coordinator Server
2566,pcs-pcw,"tcp, udp",pcs-pcw
2567,clp,"tcp, udp",Cisco Line Protocol
2568,spamtrap,"tcp, udp",SPAM TRAP
2569,sonuscallsig,"tcp, udp",Sonus Call Signal
2570,hs-port,"tcp, udp",HS Port
2571,cecsvc,"tcp, udp",CECSVC
2572,ibp,"tcp, udp",IBP
2573,trustestablish,"tcp, udp",Trust Establish
2574,blockade-bpsp,"tcp, udp",Blockade BPSP
2575,hl7,"tcp, udp",HL7
2576,tclprodebugger,"tcp, udp",TCL Pro Debugger
2577,scipticslsrvr,"tcp, udp",Scriptics Lsrvr
2578,rvs-isdn-dcp,"tcp, udp",RVS ISDN DCP
2579,mpfoncl,"tcp, udp",mpfoncl
2580,tributary,"tcp, udp",Tributary
2581,argis-te,"tcp, udp",ARGIS TE
2582,argis-ds,"tcp, udp",ARGIS DS
2583,mon,"tcp, udp",MON
2584,cyaserv,"tcp, udp",cyaserv
2585,netx-server,"tcp, udp",NETX Server
2586,netx-agent,"tcp, udp",NETX Agent
2587,masc,"tcp, udp",MASC
2588,privilege,"tcp, udp",Privilege
2589,quartus-tcl,"tcp, udp",quartus tcl
2590,idotdist,"tcp, udp",idotdist
2591,maytagshuffle,"tcp, udp",Maytag Shuffle
2592,netrek,"tcp, udp",netrek
2593,mns-mail,"tcp, udp",MNS Mail Notice Service
2594,dts,"tcp, udp",Data Base Server
2595,worldfusion1,"tcp, udp",World Fusion 1
2596,worldfusion2,"tcp, udp",World Fusion 2
2597,homesteadglory,"tcp, udp",Homestead Glory
2598,citriximaclient,"tcp, udp",Citrix MA Client
2599,snapd,"tcp, udp",Snap Discovery
2600,hpstgmgr,"tcp, udp",HPSTGMGR
2601,discp-client,"tcp, udp",discp client
2602,discp-server,"tcp, udp",discp server
2603,servicemeter,"tcp, udp",Service Meter
2604,nsc-ccs,"tcp, udp",NSC CCS
2605,nsc-posa,"tcp, udp",NSC POSA
2606,netmon,"tcp, udp",Dell Netmon
2607,connection,"tcp, udp",Dell Connection
2608,wag-service,"tcp, udp",Wag Service
2609,system-monitor,"tcp, udp",System Monitor
2610,versa-tek,"tcp, udp",VersaTek
2611,lionhead,"tcp, udp",LIONHEAD
2612,qpasa-agent,"tcp, udp",Qpasa Agent
2613,smntubootstrap,"tcp, udp",SMNTUBootstrap
2614,neveroffline,"tcp, udp",Never Offline
2615,firepower,"tcp, udp",firepower
2616,appswitch-emp,"tcp, udp",appswitch-emp
2617,cmadmin,"tcp, udp",Clinical Context Managers
2618,priority-e-com,"tcp, udp",Priority E-Com
2619,bruce,"tcp, udp",bruce
2620,lpsrecommender,"tcp, udp",LPSRecommender
2621,miles-apart,"tcp, udp",Miles Apart Jukebox Server
2622,metricadbc,"tcp, udp",MetricaDBC
2623,lmdp,"tcp, udp",LMDP
2624,aria,"tcp, udp",Aria
2625,blwnkl-port,"tcp, udp",Blwnkl Port
2626,gbjd816,"tcp, udp",gbjd816
2627,moshebeeri,"tcp, udp",Moshe Beeri
2628,dict,"tcp, udp",DICT
2629,sitaraserver,"tcp, udp",Sitara Server
2630,sitaramgmt,"tcp, udp",Sitara Management
2631,sitaradir,"tcp, udp",Sitara Dir
2632,irdg-post,"tcp, udp",IRdg Post
2633,interintelli,"tcp, udp",InterIntelli
2634,pk-electronics,"tcp, udp",PK Electronics
2635,backburner,"tcp, udp",Back Burner
2636,solve,"tcp, udp",Solve
2637,imdocsvc,"tcp, udp",Import Document Service
2638,sybaseanywhere,"tcp, udp",Sybase Anywhere
2639,aminet,"tcp, udp",AMInet
2640,ami-control,"tcp, udp",Alcorn McBride Inc protocol used for device control
2641,hdl-srv,"tcp, udp",HDL Server
2642,tragic,"tcp, udp",Tragic
2643,gte-samp,"tcp, udp",GTE-SAMP
2644,travsoft-ipx-t,"tcp, udp",Travsoft IPX Tunnel
2645,novell-ipx-cmd,"tcp, udp",Novell IPX CMD
2646,and-lm,"tcp, udp",AND License Manager
2647,syncserver,"tcp, udp",SyncServer
2648,upsnotifyprot,"tcp, udp",Upsnotifyprot
2649,vpsipport,"tcp, udp",VPSIPPORT
2650,eristwoguns,"tcp, udp",eristwoguns
2651,ebinsite,"tcp, udp",EBInSite
2652,interpathpanel,"tcp, udp",InterPathPanel
2653,sonus,"tcp, udp",Sonus
2654,"corel_vncadmin, corel-vncadmin","tcp, udp","Corel VNC Admin
IANA assigned this well-formed service name as a replacement for ""corel_vncadmin""., Corel VNC Admin"
2655,unglue,"tcp, udp",UNIX Nt Glue
2656,kana,"tcp, udp",Kana
2657,sns-dispatcher,"tcp, udp",SNS Dispatcher
2658,sns-admin,"tcp, udp",SNS Admin
2659,sns-query,"tcp, udp",SNS Query
2660,gcmonitor,"tcp, udp",GC Monitor
2661,olhost,"tcp, udp",OLHOST
2662,bintec-capi,"tcp, udp",BinTec-CAPI
2663,bintec-tapi,"tcp, udp",BinTec-TAPI
2664,patrol-mq-gm,"tcp, udp",Patrol for MQ GM
2665,patrol-mq-nm,"tcp, udp",Patrol for MQ NM
2666,extensis,"tcp, udp",extensis
2667,alarm-clock-s,"tcp, udp",Alarm Clock Server
2668,alarm-clock-c,"tcp, udp",Alarm Clock Client
2669,toad,"tcp, udp",TOAD
2670,tve-announce,"tcp, udp",TVE Announce
2671,newlixreg,"tcp, udp",newlixreg
2672,nhserver,"tcp, udp",nhserver
2673,firstcall42,"tcp, udp",First Call 42
2674,ewnn,"tcp, udp",ewnn
2675,ttc-etap,"tcp, udp",TTC ETAP
2676,simslink,"tcp, udp",SIMSLink
2677,gadgetgate1way,"tcp, udp",Gadget Gate 1 Way
2678,gadgetgate2way,"tcp, udp",Gadget Gate 2 Way
2679,syncserverssl,"tcp, udp",Sync Server SSL
2680,pxc-sapxom,"tcp, udp",pxc-sapxom
2681,mpnjsomb,"tcp, udp",mpnjsomb
2683,ncdloadbalance,"tcp, udp",NCDLoadBalance
2684,mpnjsosv,"tcp, udp",mpnjsosv
2685,mpnjsocl,"tcp, udp",mpnjsocl
2686,mpnjsomg,"tcp, udp",mpnjsomg
2687,pq-lic-mgmt,"tcp, udp",pq-lic-mgmt
2688,md-cg-http,"tcp, udp",md-cf-http
2689,fastlynx,"tcp, udp",FastLynx
2690,hp-nnm-data,"tcp, udp",HP NNM Embedded Database
2691,itinternet,"tcp, udp",ITInternet ISM Server
2692,admins-lms,"tcp, udp",Admins LMS
2694,pwrsevent,"tcp, udp",pwrsevent
2695,vspread,"tcp, udp",VSPREAD
2696,unifyadmin,"tcp, udp",Unify Admin
2697,oce-snmp-trap,"tcp, udp",Oce SNMP Trap Port
2698,mck-ivpip,"tcp, udp",MCK-IVPIP
2699,csoft-plusclnt,"tcp, udp",Csoft Plus Client
2700,tqdata,"tcp, udp",tqdata
2701,sms-rcinfo,"tcp, udp",SMS RCINFO
2702,sms-xfer,"tcp, udp",SMS XFER
2703,sms-chat,"tcp, udp",SMS CHAT
2704,sms-remctrl,"tcp, udp",SMS REMCTRL
2705,sds-admin,"tcp, udp",SDS Admin
2706,ncdmirroring,"tcp, udp",NCD Mirroring
2707,emcsymapiport,"tcp, udp",EMCSYMAPIPORT
2708,banyan-net,"tcp, udp",Banyan-Net
2709,supermon,"tcp, udp",Supermon
2710,sso-service,"tcp, udp",SSO Service
2711,sso-control,"tcp, udp",SSO Control
2712,aocp,"tcp, udp",Axapta Object Communication Protocol
2713,raventbs,"tcp, udp",Raven Trinity Broker Service
2714,raventdm,"tcp, udp",Raven Trinity Data Mover
2715,hpstgmgr2,"tcp, udp",HPSTGMGR2
2716,inova-ip-disco,"tcp, udp",Inova IP Disco
2717,pn-requester,"tcp, udp",PN REQUESTER
2718,pn-requester2,"tcp, udp",PN REQUESTER 2
